bin_left,bin_right,count
2.08357e-16,2.07501e-13,23
2.07501e-13,4.14793e-13,19
4.14793e-13,6.22086e-13,13
6.22086e-13,8.29378e-13,10
8.29378e-13,1.03667e-12,8
1.03667e-12,1.24396e-12,4
1.24396e-12,1.45126e-12,3
1.45126e-12,1.65855e-12,5
1.65855e-12,1.86584e-12,2
1.86584e-12,2.07313e-12,6
2.07313e-12,2.28043e-12,0
2.28043e-12,2.48772e-12,3
2.48772e-12,2.69501e-12,3
2.69501e-12,2.9023e-12,7
2.9023e-12,3.1096e-12,2
3.1096e-12,3.31689e-12,2
3.31689e-12,3.52418e-12,2
3.52418e-12,3.73147e-12,2
3.73147e-12,3.93877e-12,3
3.93877e-12,4.14606e-12,3
4.14606e-12,4.35335e-12,0
4.35335e-12,4.56064e-12,4
4.56064e-12,4.76794e-12,1
4.76794e-12,4.97523e-12,0
4.97523e-12,5.18252e-12,3
