function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes
sqrt,c_arb,128,,,,9.64562e-07,0.185802,
sqrt,jax_basic,128,1.34441e-17,2.22045e-16,0,9.64562e-07,2.27082,
sqrt,jax_adaptive,128,6.58087e-13,4.12916e-11,0,9.64563e-07,3.66438,
sqrt,jax_rigorous,128,6.58087e-13,4.12916e-11,0,9.64564e-07,5.34832,
sqrt,scipy,128,6.58087e-13,4.12916e-11,1,,0.003509,
sqrt,jax_point,128,6.58087e-13,4.12916e-11,1,,2.39358,
sqrt,mpmath,128,6.58087e-13,4.12916e-11,1,,0.740565,
sqrt,boost,128,6.58087e-13,4.12916e-11,1,,11.5765,
cos,c_arb,128,,,,1.28034e-06,0.261164,
cos,jax_basic,128,6.51877e-17,2.22045e-16,0,1.28034e-06,3.75226,
cos,jax_adaptive,128,3.26048e-13,5.00044e-13,0,1.28035e-06,4.13135,
cos,jax_rigorous,128,3.26048e-13,5.00044e-13,0,1.28035e-06,2.08589,
cos,scipy,128,3.26044e-13,5.00044e-13,1,,0.00938,
cos,jax_point,128,3.26048e-13,5.00044e-13,1,,2.15122,
cos,mpmath,128,3.26044e-13,5.00044e-13,1,,2.08775,
cos,boost,128,3.26044e-13,5.00044e-13,1,,9.57184,
log,c_arb,128,,,,2.31712e-06,0.153064,
log,jax_basic,128,4.64106e-17,2.22045e-16,0,2.31712e-06,3.24649,
log,jax_adaptive,128,1.68849e-12,4.91394e-11,0,2.31712e-06,2.47565,
log,jax_rigorous,128,1.68849e-12,4.91394e-11,0,2.31713e-06,3.67416,
log,scipy,128,1.68849e-12,4.91394e-11,1,,0.008049,
log,jax_point,128,1.68849e-12,4.91394e-11,1,,5.1068,
log,mpmath,128,1.68849e-12,4.91394e-11,1,,2.21097,
log,boost,128,1.68849e-12,4.91394e-11,1,,9.70144,
sinh,c_arb,128,,,,3.45027e-06,0.135732,
sinh,jax_basic,128,4.17418e-17,4.44089e-16,0,3.45027e-06,3.63991,
sinh,jax_adaptive,128,6.34415e-13,1.77725e-12,0,3.45027e-06,3.37897,
sinh,jax_rigorous,128,6.34415e-13,1.77725e-12,0,3.45027e-06,2.72583,
sinh,scipy,128,6.34414e-13,1.77725e-12,1,,0.01652,
sinh,jax_point,128,6.34415e-13,1.77725e-12,1,,2.71461,
sinh,mpmath,128,6.34405e-13,1.77725e-12,1,,2.98115,
sinh,boost,128,6.34414e-13,1.77725e-12,1,,12.7951,
tan,c_arb,128,,,,2.87854e-06,0.163493,
tan,jax_basic,128,5.08491e-17,4.44089e-16,0,2.87854e-06,2.84804,
tan,jax_adaptive,128,9.78014e-13,5.30709e-12,0,2.87854e-06,3.10318,
tan,jax_rigorous,128,9.78014e-13,5.30709e-12,0,2.87855e-06,3.74629,
tan,scipy,128,9.77997e-13,5.30687e-12,1,,0.008126,
tan,jax_point,128,9.78014e-13,5.30709e-12,1,,6.48175,
tan,mpmath,128,9.77997e-13,5.30687e-12,1,,1.7096,
tan,boost,128,9.77997e-13,5.30687e-12,1,,11.2873,
cosh,c_arb,128,,,,2.89178e-06,0.121452,
cosh,jax_basic,128,1.73472e-17,4.44089e-16,0,2.89178e-06,2.98736,
cosh,jax_adaptive,128,9.29945e-13,1.82165e-12,0,2.89178e-06,8.20316,
cosh,jax_rigorous,128,9.29945e-13,1.82165e-12,0,2.89179e-06,3.39542,
cosh,scipy,128,9.2994e-13,1.82165e-12,1,,0.006295,
cosh,jax_point,128,9.29945e-13,1.82165e-12,1,,3.43856,
cosh,mpmath,128,9.29954e-13,1.8221e-12,1,,1.22053,
cosh,boost,128,9.2994e-13,1.82165e-12,1,,12.2439,
tanh,c_arb,128,,,,1.01142e-06,0.213001,
tanh,jax_basic,128,6.88739e-17,2.22045e-16,0,1.01142e-06,2.64463,
tanh,jax_adaptive,128,2.41345e-13,3.84914e-13,0,1.01142e-06,2.55445,
tanh,jax_rigorous,128,2.41345e-13,3.84914e-13,0,1.01142e-06,2.48542,
tanh,scipy,128,2.41337e-13,3.84803e-13,1,,0.004578,
tanh,jax_point,128,2.41345e-13,3.84914e-13,1,,2.56916,
tanh,mpmath,128,2.4134e-13,3.84803e-13,1,,1.94001,
tanh,boost,128,2.41339e-13,3.84803e-13,1,,23.9717,
exp,c_arb,128,,,,3.3772e-06,3.99609,
exp,jax_basic,128,1.2078e-16,1.77636e-15,0,3.3772e-06,2.75879,
exp,jax_adaptive,128,8.44298e-13,3.28626e-12,0,3.3772e-06,2.9931,
exp,jax_rigorous,128,8.44298e-13,3.28626e-12,0,3.3772e-06,7.08416,
exp,scipy,128,8.443e-13,3.28626e-12,1,,0.005709,
exp,jax_point,128,8.44298e-13,3.28626e-12,1,,2.87324,
exp,mpmath,128,8.443e-13,3.28626e-12,1,,3.39983,
exp,boost,128,8.443e-13,3.28626e-12,1,,11.8165,
sin,c_arb,128,,,,1.22201e-06,0.219092,
sin,jax_basic,128,6.78982e-17,2.22045e-16,0,1.22201e-06,6.68264,
sin,jax_adaptive,128,3.37712e-13,4.99933e-13,0,1.22201e-06,4.12666,
sin,jax_rigorous,128,3.37712e-13,4.99933e-13,0,1.22201e-06,3.57957,
sin,scipy,128,3.37713e-13,4.99933e-13,1,,0.007649,
sin,jax_point,128,3.37712e-13,4.99933e-13,1,,3.41207,
sin,mpmath,128,3.37713e-13,4.99933e-13,1,,4.49078,
sin,boost,128,3.37713e-13,4.99933e-13,1,,13.2737,
