bin_left,bin_right,count
7.66574e-15,7.98345e-14,8
7.98345e-14,1.52003e-13,12
1.52003e-13,2.24172e-13,9
2.24172e-13,2.96341e-13,7
2.96341e-13,3.68509e-13,9
3.68509e-13,4.40678e-13,7
4.40678e-13,5.12847e-13,4
5.12847e-13,5.85016e-13,6
5.85016e-13,6.57184e-13,11
6.57184e-13,7.29353e-13,6
7.29353e-13,8.01522e-13,7
8.01522e-13,8.7369e-13,8
8.7369e-13,9.45859e-13,3
9.45859e-13,1.01803e-12,5
1.01803e-12,1.0902e-12,2
1.0902e-12,1.16237e-12,6
1.16237e-12,1.23453e-12,1
1.23453e-12,1.3067e-12,1
1.3067e-12,1.37887e-12,3
1.37887e-12,1.45104e-12,2
1.45104e-12,1.52321e-12,4
1.52321e-12,1.59538e-12,4
1.59538e-12,1.66755e-12,0
1.66755e-12,1.73972e-12,2
1.73972e-12,1.81188e-12,1
