function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes
sin,c_arb,128,,,,1.17088e-06,0.27716,
sin,jax_basic,128,7.48099e-17,2.22045e-16,0,1.17088e-06,0.391192,
sin,jax_adaptive,128,3.45626e-13,4.99933e-13,0,1.17088e-06,0.29907,
sin,jax_rigorous,128,3.45626e-13,4.99933e-13,0,1.17088e-06,0.254938,
sin,scipy,128,3.45626e-13,4.99933e-13,1,,0.004824,
sin,jax_point,128,3.45626e-13,4.99933e-13,1,,0.184416,
sin,mpmath,128,3.45625e-13,4.99933e-13,1,,1.73628,
sin,boost,128,3.45626e-13,4.99933e-13,1,,6.96287,
exp,c_arb,128,,,,3.52593e-06,0.13585,
exp,jax_basic,128,1.30321e-16,1.77636e-15,0,3.52593e-06,0.296725,
exp,jax_adaptive,128,8.81458e-13,3.67972e-12,0,3.52593e-06,0.227725,
exp,jax_rigorous,128,8.81458e-13,3.67972e-12,0,3.52593e-06,0.213536,
exp,scipy,128,8.81457e-13,3.67972e-12,1,,0.003068,
exp,jax_point,128,8.81458e-13,3.67972e-12,1,,0.169254,
exp,mpmath,128,8.81457e-13,3.67972e-12,1,,0.862206,
exp,boost,128,8.81457e-13,3.67972e-12,1,,5.93399,
cosh,c_arb,128,,,,2.93497e-06,0.116783,
cosh,jax_basic,128,1.37043e-16,8.88178e-16,0,2.93497e-06,0.245228,
cosh,jax_adaptive,128,9.44876e-13,1.86162e-12,0,2.93498e-06,0.186221,
cosh,jax_rigorous,128,9.44876e-13,1.86162e-12,0,2.93498e-06,0.166201,
cosh,scipy,128,9.44836e-13,1.86162e-12,1,,0.003492,
cosh,jax_point,128,9.44876e-13,1.86162e-12,1,,0.144947,
cosh,mpmath,128,9.44819e-13,1.86118e-12,1,,0.967716,
cosh,boost,128,9.44836e-13,1.86162e-12,1,,5.45992,
log,c_arb,128,,,,2.25697e-06,0.116135,
log,jax_basic,128,4.08338e-17,2.22045e-16,0,2.25697e-06,0.211604,
log,jax_adaptive,128,1.48222e-12,4.45293e-11,0,2.25698e-06,0.166843,
log,jax_rigorous,128,1.48222e-12,4.45293e-11,0,2.25698e-06,0.156954,
log,scipy,128,1.48222e-12,4.45293e-11,1,,0.002614,
log,jax_point,128,1.48222e-12,4.45293e-11,1,,0.130059,
log,mpmath,128,1.48222e-12,4.45293e-11,1,,1.12412,
log,boost,128,1.48222e-12,4.45293e-11,1,,4.83536,
tan,c_arb,128,,,,3.01679e-06,0.103422,
tan,jax_basic,128,2.8711e-17,2.22045e-16,0,3.01679e-06,0.225916,
tan,jax_adaptive,128,1.10194e-12,5.12856e-12,0,3.01679e-06,0.244765,
tan,jax_rigorous,128,1.10194e-12,5.12856e-12,0,3.01679e-06,0.172876,
tan,scipy,128,1.10194e-12,5.12856e-12,1,,0.003204,
tan,jax_point,128,1.10194e-12,5.12856e-12,1,,0.121937,
tan,mpmath,128,1.10194e-12,5.12856e-12,1,,1.1727,
tan,boost,128,1.10194e-12,5.12856e-12,1,,4.76938,
sinh,c_arb,128,,,,3.67621e-06,0.104107,
sinh,jax_basic,128,1.38561e-16,8.88178e-16,0,3.67621e-06,0.221095,
sinh,jax_adaptive,128,7.20569e-13,1.803e-12,0,3.67621e-06,0.234942,
sinh,jax_rigorous,128,7.20569e-13,1.803e-12,0,3.67621e-06,0.181845,
sinh,scipy,128,7.20537e-13,1.80256e-12,1,,0.005232,
sinh,jax_point,128,7.20569e-13,1.803e-12,1,,0.178128,
sinh,mpmath,128,7.20533e-13,1.80256e-12,1,,0.915368,
sinh,boost,128,7.20537e-13,1.80256e-12,1,,5.62693,
sqrt,c_arb,128,,,,1.02618e-06,0.105706,
sqrt,jax_basic,128,1.53957e-17,2.22045e-16,0,1.02618e-06,0.244822,
sqrt,jax_adaptive,128,7.17323e-13,2.17879e-11,0,1.02619e-06,0.171495,
sqrt,jax_rigorous,128,7.17323e-13,2.17879e-11,0,1.02619e-06,0.159134,
sqrt,scipy,128,7.17323e-13,2.17879e-11,1,,0.001786,
sqrt,jax_point,128,7.17323e-13,2.17879e-11,1,,0.12076,
sqrt,mpmath,128,7.17323e-13,2.17879e-11,1,,0.693727,
sqrt,boost,128,7.17323e-13,2.17879e-11,1,,5.09747,
tanh,c_arb,128,,,,1.01472e-06,0.102718,
tanh,jax_basic,128,8.3592e-17,2.22045e-16,0,1.01472e-06,0.251647,
tanh,jax_adaptive,128,2.33924e-13,3.84914e-13,0,1.01472e-06,0.17343,
tanh,jax_rigorous,128,2.33924e-13,3.84914e-13,0,1.01472e-06,0.159013,
tanh,scipy,128,2.33902e-13,3.84803e-13,1,,0.002823,
tanh,jax_point,128,2.33924e-13,3.84914e-13,1,,0.121371,
tanh,mpmath,128,2.33904e-13,3.84914e-13,1,,0.747245,
tanh,boost,128,2.33915e-13,3.85025e-13,1,,4.6468,
cos,c_arb,128,,,,1.39412e-06,0.100372,
cos,jax_basic,128,5.58635e-17,2.22045e-16,0,1.39412e-06,0.20926,
cos,jax_adaptive,128,2.87466e-13,4.99822e-13,0,1.39412e-06,0.159442,
cos,jax_rigorous,128,2.87466e-13,4.99822e-13,0,1.39412e-06,0.145613,
cos,scipy,128,2.87466e-13,4.99822e-13,1,,0.003067,
cos,jax_point,128,2.87466e-13,4.99822e-13,1,,0.113427,
cos,mpmath,128,2.87466e-13,4.99822e-13,1,,1.08153,
cos,boost,128,2.87466e-13,4.99822e-13,1,,4.71773,
