bin_left,bin_right,count
5.00044e-13,5.54508e-13,27
5.54508e-13,6.08971e-13,18
6.08971e-13,6.63434e-13,7
6.63434e-13,7.17897e-13,3
7.17897e-13,7.7236e-13,4
7.7236e-13,8.26823e-13,3
8.26823e-13,8.81286e-13,5
8.81286e-13,9.35749e-13,5
9.35749e-13,9.90212e-13,6
9.90212e-13,1.04468e-12,8
1.04468e-12,1.09914e-12,0
1.09914e-12,1.1536e-12,2
1.1536e-12,1.20806e-12,3
1.20806e-12,1.26253e-12,3
1.26253e-12,1.31699e-12,0
1.31699e-12,1.37145e-12,4
1.37145e-12,1.42592e-12,5
1.42592e-12,1.48038e-12,4
1.48038e-12,1.53484e-12,4
1.53484e-12,1.58931e-12,5
1.58931e-12,1.64377e-12,3
1.64377e-12,1.69823e-12,3
1.69823e-12,1.7527e-12,4
1.7527e-12,1.80716e-12,1
1.80716e-12,1.86162e-12,1
