bin_left,bin_right,count
3.59782e-14,4.99356e-14,2
4.99356e-14,6.38931e-14,0
6.38931e-14,7.78505e-14,10
7.78505e-14,9.1808e-14,5
9.1808e-14,1.05765e-13,8
1.05765e-13,1.19723e-13,7
1.19723e-13,1.3368e-13,3
1.3368e-13,1.47638e-13,6
1.47638e-13,1.61595e-13,4
1.61595e-13,1.75553e-13,7
1.75553e-13,1.8951e-13,3
1.8951e-13,2.03468e-13,1
2.03468e-13,2.17425e-13,2
2.17425e-13,2.31382e-13,2
2.31382e-13,2.4534e-13,3
2.4534e-13,2.59297e-13,1
2.59297e-13,2.73255e-13,6
2.73255e-13,2.87212e-13,4
2.87212e-13,3.0117e-13,7
3.0117e-13,3.15127e-13,3
3.15127e-13,3.29085e-13,8
3.29085e-13,3.43042e-13,3
3.43042e-13,3.56999e-13,4
3.56999e-13,3.70957e-13,10
3.70957e-13,3.84914e-13,19
