function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes,sweep_sample,sweep_seed,wall_s,peak_rss_mb,run_dir
cos,jax_adaptive,64,3.34242e-13,5.00044e-13,0,1.21681e-06,0.400603,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cos,jax_rigorous,64,3.34242e-13,5.00044e-13,0,1.21681e-06,0.452384,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cos,scipy,64,3.34242e-13,5.00044e-13,1,,0.018771,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cos,jax_point,64,3.34242e-13,5.00044e-13,1,,0.364642,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cos,mpmath,64,3.34242e-13,5.00044e-13,1,,2.37599,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
cos,boost,64,3.34242e-13,5.00044e-13,1,,13.0949,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
exp,c_arb,64,,,,4.26285e-06,0.096372,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
exp,jax_basic,64,2.0383e-16,1.77636e-15,0,4.26285e-06,0.548628,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
exp,jax_adaptive,64,1.06571e-12,3.6513e-12,0,4.26285e-06,0.689092,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
exp,jax_rigorous,64,1.06571e-12,3.6513e-12,0,4.26286e-06,0.79423,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
exp,scipy,64,1.0657e-12,3.6513e-12,1,,0.012318,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
exp,jax_point,64,1.06571e-12,3.6513e-12,1,,0.363097,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
exp,mpmath,64,1.0657e-12,3.6513e-12,1,,0.628907,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
exp,boost,64,1.0657e-12,3.6513e-12,1,,13.4923,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sin,c_arb,64,,,,1.24952e-06,0.199368,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sin,jax_basic,64,7.54605e-17,2.22045e-16,0,1.24952e-06,0.480379,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sin,jax_adaptive,64,3.30619e-13,5.00044e-13,0,1.24952e-06,0.503512,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sin,jax_rigorous,64,3.30619e-13,5.00044e-13,0,1.24952e-06,0.477063,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sin,scipy,64,3.30619e-13,5.00044e-13,1,,0.006613,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
sin,jax_point,64,3.30619e-13,5.00044e-13,1,,0.530177,,64,0,7.570758,656.062500,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/cpu_profile/samples_64_seed_0
