function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes
sqrt,c_arb,64,,,,9.08997e-07,0.10048,
sqrt,jax_basic,64,1.38778e-17,2.22045e-16,0,9.08997e-07,2.38827,
sqrt,jax_adaptive,64,4.26019e-13,1.66791e-11,0,9.08998e-07,4.25888,
sqrt,jax_rigorous,64,4.26019e-13,1.66791e-11,0,9.08999e-07,4.71742,
sqrt,scipy,64,4.26019e-13,1.66791e-11,1,,0.006322,
sqrt,jax_point,64,4.26019e-13,1.66791e-11,1,,2.0873,
sqrt,mpmath,64,4.26019e-13,1.66791e-11,1,,0.377179,
sqrt,boost,64,4.26019e-13,1.66791e-11,1,,7.3737,
cos,c_arb,64,,,,1.46361e-06,0.106794,
cos,jax_basic,64,4.88704e-17,2.22045e-16,0,1.46361e-06,3.27715,
cos,jax_adaptive,64,2.80659e-13,4.97047e-13,0,1.46361e-06,2.24815,
cos,jax_rigorous,64,2.80659e-13,4.97047e-13,0,1.46361e-06,3.14933,
cos,scipy,64,2.80649e-13,4.97047e-13,1,,0.005628,
cos,jax_point,64,2.80659e-13,4.97047e-13,1,,2.51743,
cos,mpmath,64,2.80649e-13,4.97047e-13,1,,2.29472,
cos,boost,64,2.80649e-13,4.97047e-13,1,,8.96257,
log,c_arb,64,,,,1.95155e-06,0.083608,
log,jax_basic,64,3.68629e-17,2.22045e-16,0,1.95155e-06,3.34348,
log,jax_adaptive,64,1.14125e-12,2.26745e-11,0,1.95155e-06,2.2503,
log,jax_rigorous,64,1.14125e-12,2.26745e-11,0,1.95155e-06,2.30779,
log,scipy,64,1.14125e-12,2.26745e-11,1,,0.005627,
log,jax_point,64,1.14125e-12,2.26745e-11,1,,2.05053,
log,mpmath,64,1.14125e-12,2.26745e-11,1,,1.25736,
log,boost,64,1.14125e-12,2.26745e-11,1,,7.83786,
sinh,c_arb,64,,,,3.61059e-06,0.079283,
sinh,jax_basic,64,2.94903e-17,4.44089e-16,0,3.61059e-06,3.20881,
sinh,jax_adaptive,64,6.88116e-13,1.65068e-12,0,3.61059e-06,1.96291,
sinh,jax_rigorous,64,6.88116e-13,1.65068e-12,0,3.61059e-06,1.95162,
sinh,scipy,64,6.88125e-13,1.65068e-12,1,,0.006519,
sinh,jax_point,64,6.88116e-13,1.65068e-12,1,,8.36098,
sinh,mpmath,64,6.88102e-13,1.65024e-12,1,,0.590242,
sinh,boost,64,6.88125e-13,1.65068e-12,1,,8.68094,
tan,c_arb,64,,,,3.35214e-06,0.079351,
tan,jax_basic,64,5.9848e-17,4.44089e-16,0,3.35214e-06,2.35068,
tan,jax_adaptive,64,1.44474e-12,4.35008e-12,0,3.35215e-06,1.94058,
tan,jax_rigorous,64,1.44474e-12,4.35008e-12,0,3.35215e-06,3.07523,
tan,scipy,64,1.44469e-12,4.34985e-12,1,,0.005259,
tan,jax_point,64,1.44474e-12,4.35008e-12,1,,6.71666,
tan,mpmath,64,1.44469e-12,4.34985e-12,1,,1.35791,
tan,boost,64,1.44469e-12,4.34985e-12,1,,7.54859,
cosh,c_arb,64,,,,2.772e-06,0.15466,
cosh,jax_basic,64,1.73472e-17,8.88178e-16,0,2.772e-06,4.0831,
cosh,jax_adaptive,64,9.09751e-13,1.86162e-12,0,2.772e-06,7.70027,
cosh,jax_rigorous,64,9.09751e-13,1.86162e-12,0,2.772e-06,2.68681,
cosh,scipy,64,9.09741e-13,1.86162e-12,1,,0.006348,
cosh,jax_point,64,9.09751e-13,1.86162e-12,1,,2.72827,
cosh,mpmath,64,9.09734e-13,1.86118e-12,1,,2.51983,
cosh,boost,64,9.09741e-13,1.86162e-12,1,,13.3752,
tanh,c_arb,64,,,,1.10968e-06,0.310761,
tanh,jax_basic,64,6.17995e-17,2.22045e-16,0,1.10968e-06,4.78614,
tanh,jax_adaptive,64,2.46265e-13,3.82916e-13,0,1.10968e-06,3.07656,
tanh,jax_rigorous,64,2.46265e-13,3.82916e-13,0,1.10968e-06,2.38161,
tanh,scipy,64,2.46252e-13,3.82916e-13,1,,0.004938,
tanh,jax_point,64,2.46265e-13,3.82916e-13,1,,7.32342,
tanh,mpmath,64,2.4626e-13,3.82916e-13,1,,0.626817,
tanh,boost,64,2.46258e-13,3.82916e-13,1,,8.99301,
exp,c_arb,64,,,,3.73356e-06,0.096161,
exp,jax_basic,64,1.23165e-16,1.77636e-15,0,3.73356e-06,3.55591,
exp,jax_adaptive,64,9.33424e-13,3.20188e-12,0,3.73357e-06,8.06542,
exp,jax_rigorous,64,9.33424e-13,3.20188e-12,0,3.73357e-06,2.42782,
exp,scipy,64,9.33414e-13,3.20188e-12,1,,0.005294,
exp,jax_point,64,9.33424e-13,3.20188e-12,1,,2.13213,
exp,mpmath,64,9.33413e-13,3.20188e-12,1,,0.563722,
exp,boost,64,9.33414e-13,3.20188e-12,1,,13.5357,
sin,c_arb,64,,,,1.2989e-06,0.176333,
sin,jax_basic,64,7.4173e-17,2.22045e-16,0,1.2989e-06,5.21707,
sin,jax_adaptive,64,3.14073e-13,4.99822e-13,0,1.2989e-06,2.484,
sin,jax_rigorous,64,3.14073e-13,4.99822e-13,0,1.2989e-06,2.26641,
sin,scipy,64,3.14068e-13,4.99822e-13,1,,0.009379,
sin,jax_point,64,3.14073e-13,4.99822e-13,1,,2.57455,
sin,mpmath,64,3.14068e-13,4.99822e-13,1,,2.13807,
sin,boost,64,3.14068e-13,4.99822e-13,1,,10.4364,
