bin_left,bin_right,count
2.06155e-14,8.5818e-14,5
8.5818e-14,1.51021e-13,5
1.51021e-13,2.16223e-13,2
2.16223e-13,2.81426e-13,6
2.81426e-13,3.46628e-13,3
3.46628e-13,4.11831e-13,3
4.11831e-13,4.77033e-13,1
4.77033e-13,5.42236e-13,4
5.42236e-13,6.07439e-13,4
6.07439e-13,6.72641e-13,2
6.72641e-13,7.37844e-13,3
7.37844e-13,8.03046e-13,2
8.03046e-13,8.68249e-13,2
8.68249e-13,9.33451e-13,3
9.33451e-13,9.98654e-13,2
9.98654e-13,1.06386e-12,3
1.06386e-12,1.12906e-12,1
1.12906e-12,1.19426e-12,0
1.19426e-12,1.25946e-12,2
1.25946e-12,1.32467e-12,1
1.32467e-12,1.38987e-12,0
1.38987e-12,1.45507e-12,1
1.45507e-12,1.52027e-12,4
1.52027e-12,1.58548e-12,3
1.58548e-12,1.65068e-12,2
