bin_left,bin_right,count
5.00266e-13,5.53246e-13,16
5.53246e-13,6.06226e-13,5
6.06226e-13,6.59206e-13,4
6.59206e-13,7.12186e-13,5
7.12186e-13,7.65166e-13,2
7.65166e-13,8.18146e-13,4
8.18146e-13,8.71125e-13,1
8.71125e-13,9.24105e-13,3
9.24105e-13,9.77085e-13,2
9.77085e-13,1.03006e-12,3
1.03006e-12,1.08304e-12,1
1.08304e-12,1.13602e-12,1
1.13602e-12,1.189e-12,0
1.189e-12,1.24198e-12,1
1.24198e-12,1.29496e-12,3
1.29496e-12,1.34794e-12,0
1.34794e-12,1.40092e-12,2
1.40092e-12,1.4539e-12,3
1.4539e-12,1.50688e-12,0
1.50688e-12,1.55986e-12,2
1.55986e-12,1.61284e-12,1
1.61284e-12,1.66582e-12,0
1.66582e-12,1.7188e-12,2
1.7188e-12,1.77178e-12,1
1.77178e-12,1.82476e-12,2
