bin_left,bin_right,count
2.38733e-14,3.83105e-14,1
3.83105e-14,5.27477e-14,0
5.27477e-14,6.71849e-14,1
6.71849e-14,8.16221e-14,3
8.16221e-14,9.60593e-14,2
9.60593e-14,1.10496e-13,4
1.10496e-13,1.24934e-13,3
1.24934e-13,1.39371e-13,0
1.39371e-13,1.53808e-13,2
1.53808e-13,1.68245e-13,3
1.68245e-13,1.82682e-13,1
1.82682e-13,1.9712e-13,1
1.9712e-13,2.11557e-13,4
2.11557e-13,2.25994e-13,1
2.25994e-13,2.40431e-13,5
2.40431e-13,2.54868e-13,3
2.54868e-13,2.69306e-13,3
2.69306e-13,2.83743e-13,2
2.83743e-13,2.9818e-13,1
2.9818e-13,3.12617e-13,1
3.12617e-13,3.27054e-13,0
3.27054e-13,3.41492e-13,5
3.41492e-13,3.55929e-13,6
3.55929e-13,3.70366e-13,4
3.70366e-13,3.84803e-13,8
