bin_left,bin_right,count
5.59552e-14,1.03658e-12,54
1.03658e-12,2.01721e-12,2
2.01721e-12,2.99784e-12,1
2.99784e-12,3.97847e-12,1
3.97847e-12,4.9591e-12,0
4.9591e-12,5.93973e-12,2
5.93973e-12,6.92036e-12,0
6.92036e-12,7.90099e-12,0
7.90099e-12,8.88162e-12,0
8.88162e-12,9.86224e-12,0
9.86224e-12,1.08429e-11,1
1.08429e-11,1.18235e-11,0
1.18235e-11,1.28041e-11,0
1.28041e-11,1.37848e-11,0
1.37848e-11,1.47654e-11,0
1.47654e-11,1.5746e-11,1
1.5746e-11,1.67266e-11,0
1.67266e-11,1.77073e-11,0
1.77073e-11,1.86879e-11,0
1.86879e-11,1.96685e-11,0
1.96685e-11,2.06492e-11,0
2.06492e-11,2.16298e-11,0
2.16298e-11,2.26104e-11,0
2.26104e-11,2.3591e-11,1
2.3591e-11,2.45717e-11,1
