bin_left,bin_right,count
1.87567e-15,7.42049e-14,6
7.42049e-14,1.46534e-13,6
1.46534e-13,2.18864e-13,3
2.18864e-13,2.91193e-13,3
2.91193e-13,3.63522e-13,3
3.63522e-13,4.35851e-13,4
4.35851e-13,5.08181e-13,5
5.08181e-13,5.8051e-13,4
5.8051e-13,6.52839e-13,3
6.52839e-13,7.25168e-13,5
7.25168e-13,7.97498e-13,3
7.97498e-13,8.69827e-13,2
8.69827e-13,9.42156e-13,3
9.42156e-13,1.01449e-12,5
1.01449e-12,1.08681e-12,2
1.08681e-12,1.15914e-12,0
1.15914e-12,1.23147e-12,2
1.23147e-12,1.3038e-12,0
1.3038e-12,1.37613e-12,1
1.37613e-12,1.44846e-12,1
1.44846e-12,1.52079e-12,0
1.52079e-12,1.59312e-12,0
1.59312e-12,1.66545e-12,1
1.66545e-12,1.73778e-12,1
1.73778e-12,1.81011e-12,1
