function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes
sin,c_arb,64,,,,1.21918e-06,0.062534,
sin,jax_basic,64,7.45931e-17,2.22045e-16,0,1.21918e-06,0.302379,
sin,jax_adaptive,64,3.25353e-13,4.99267e-13,0,1.21918e-06,0.192783,
sin,jax_rigorous,64,3.25353e-13,4.99267e-13,0,1.21918e-06,0.17634,
sin,scipy,64,3.25353e-13,4.99267e-13,1,,0.002796,
sin,jax_point,64,3.25353e-13,4.99267e-13,1,,0.122438,
sin,mpmath,64,3.25352e-13,4.99267e-13,1,,1.14328,
sin,boost,64,3.25353e-13,4.99267e-13,1,,5.29858,
exp,c_arb,64,,,,3.32314e-06,0.07869,
exp,jax_basic,64,1.07987e-16,1.77636e-15,0,3.32314e-06,0.240656,
exp,jax_adaptive,64,8.308e-13,3.63798e-12,0,3.32314e-06,0.188735,
exp,jax_rigorous,64,8.308e-13,3.63798e-12,0,3.32314e-06,0.208961,
exp,scipy,64,8.30796e-13,3.63709e-12,1,,0.003383,
exp,jax_point,64,8.308e-13,3.63798e-12,1,,0.143898,
exp,mpmath,64,8.30796e-13,3.63709e-12,1,,0.461478,
exp,boost,64,8.30796e-13,3.63709e-12,1,,5.84317,
cosh,c_arb,64,,,,2.6365e-06,0.075897,
cosh,jax_basic,64,7.63278e-17,8.88178e-16,0,2.6365e-06,0.288453,
cosh,jax_adaptive,64,8.8337e-13,1.87406e-12,0,2.6365e-06,0.225734,
cosh,jax_rigorous,64,8.8337e-13,1.87406e-12,0,2.63651e-06,0.218189,
cosh,scipy,64,8.83321e-13,1.87361e-12,1,,0.003471,
cosh,jax_point,64,8.8337e-13,1.87406e-12,1,,0.153856,
cosh,mpmath,64,8.83349e-13,1.87361e-12,1,,0.638616,
cosh,boost,64,8.83321e-13,1.87361e-12,1,,6.2758,
log,c_arb,64,,,,2.57641e-06,0.071307,
log,jax_basic,64,4.55365e-17,2.22045e-16,0,2.57641e-06,0.270336,
log,jax_adaptive,64,1.70606e-12,1.82345e-11,0,2.57642e-06,0.214637,
log,jax_rigorous,64,1.70606e-12,1.82345e-11,0,2.57642e-06,0.360634,
log,scipy,64,1.70606e-12,1.82345e-11,1,,0.002712,
log,jax_point,64,1.70606e-12,1.82345e-11,1,,0.166771,
log,mpmath,64,1.70606e-12,1.82345e-11,1,,1.32147,
log,boost,64,1.70606e-12,1.82345e-11,1,,5.89878,
tan,c_arb,64,,,,3.35214e-06,0.075613,
tan,jax_basic,64,1.99493e-17,1.11022e-16,0,3.35214e-06,0.285474,
tan,jax_adaptive,64,1.44469e-12,4.34985e-12,0,3.35215e-06,0.204144,
tan,jax_rigorous,64,1.44469e-12,4.34985e-12,0,3.35215e-06,0.190782,
tan,scipy,64,1.44469e-12,4.34985e-12,1,,0.002808,
tan,jax_point,64,1.44469e-12,4.34985e-12,1,,0.154433,
tan,mpmath,64,1.44469e-12,4.34985e-12,1,,1.2839,
tan,boost,64,1.44469e-12,4.34985e-12,1,,5.86329,
sinh,c_arb,64,,,,3.63891e-06,0.072034,
sinh,jax_basic,64,1.54946e-16,8.88178e-16,0,3.63891e-06,0.268685,
sinh,jax_adaptive,64,6.93015e-13,1.79279e-12,0,3.63891e-06,0.215436,
sinh,jax_rigorous,64,6.93015e-13,1.79279e-12,0,3.63891e-06,0.241097,
sinh,scipy,64,6.92976e-13,1.79279e-12,1,,0.003828,
sinh,jax_point,64,6.93015e-13,1.79279e-12,1,,0.213339,
sinh,mpmath,64,6.9299e-13,1.79279e-12,1,,0.577052,
sinh,boost,64,6.92976e-13,1.79279e-12,1,,5.94146,
sqrt,c_arb,64,,,,8.6007e-07,0.098405,
sqrt,jax_basic,64,1.38778e-17,2.22045e-16,0,8.6007e-07,0.283463,
sqrt,jax_adaptive,64,1.39986e-13,1.88594e-12,0,8.6007e-07,0.215278,
sqrt,jax_rigorous,64,1.39986e-13,1.88594e-12,0,8.6007e-07,0.200913,
sqrt,scipy,64,1.39986e-13,1.88594e-12,1,,0.002285,
sqrt,jax_point,64,1.39986e-13,1.88594e-12,1,,0.152149,
sqrt,mpmath,64,1.39986e-13,1.88594e-12,1,,0.340398,
sqrt,boost,64,1.39986e-13,1.88594e-12,1,,5.61156,
tanh,c_arb,64,,,,8.39209e-07,0.073157,
tanh,jax_basic,64,1.02782e-16,3.33067e-16,0,8.39209e-07,0.273094,
tanh,jax_adaptive,64,2.48235e-13,3.84137e-13,0,8.3921e-07,0.21978,
tanh,jax_rigorous,64,2.48235e-13,3.84137e-13,0,8.3921e-07,0.202739,
tanh,scipy,64,2.48234e-13,3.84137e-13,1,,0.003026,
tanh,jax_point,64,2.48235e-13,3.84137e-13,1,,0.151736,
tanh,mpmath,64,2.48232e-13,3.84137e-13,1,,0.501978,
tanh,boost,64,2.48249e-13,3.84248e-13,1,,5.43944,
cos,c_arb,64,,,,1.25629e-06,0.067212,
cos,jax_basic,64,6.37511e-17,2.22045e-16,0,1.25629e-06,0.250999,
cos,jax_adaptive,64,3.24723e-13,4.99933e-13,0,1.25629e-06,0.188765,
cos,jax_rigorous,64,3.24723e-13,4.99933e-13,0,1.25629e-06,0.170903,
cos,scipy,64,3.24723e-13,4.99933e-13,1,,0.003128,
cos,jax_point,64,3.24723e-13,4.99933e-13,1,,0.140002,
cos,mpmath,64,3.24723e-13,4.99933e-13,1,,1.0096,
cos,boost,64,3.24723e-13,4.99933e-13,1,,5.42561,
