bin_left,bin_right,count
7.32747e-14,1.99698e-13,21
1.99698e-13,3.26121e-13,7
3.26121e-13,4.52545e-13,7
4.52545e-13,5.78968e-13,1
5.78968e-13,7.05391e-13,5
7.05391e-13,8.31815e-13,3
8.31815e-13,9.58238e-13,3
9.58238e-13,1.08466e-12,2
1.08466e-12,1.21108e-12,0
1.21108e-12,1.33751e-12,0
1.33751e-12,1.46393e-12,2
1.46393e-12,1.59035e-12,1
1.59035e-12,1.71678e-12,1
1.71678e-12,1.8432e-12,0
1.8432e-12,1.96962e-12,2
1.96962e-12,2.09605e-12,0
2.09605e-12,2.22247e-12,0
2.22247e-12,2.34889e-12,2
2.34889e-12,2.47532e-12,0
2.47532e-12,2.60174e-12,0
2.60174e-12,2.72816e-12,1
2.72816e-12,2.85459e-12,1
2.85459e-12,2.98101e-12,0
2.98101e-12,3.10743e-12,2
3.10743e-12,3.23386e-12,3
