bin_left,bin_right,count
8.02136e-14,2.20357e-13,15
2.20357e-13,3.60501e-13,8
3.60501e-13,5.00644e-13,7
5.00644e-13,6.40787e-13,7
6.40787e-13,7.80931e-13,3
7.80931e-13,9.21074e-13,1
9.21074e-13,1.06122e-12,2
1.06122e-12,1.20136e-12,3
1.20136e-12,1.3415e-12,3
1.3415e-12,1.48165e-12,1
1.48165e-12,1.62179e-12,1
1.62179e-12,1.76194e-12,0
1.76194e-12,1.90208e-12,3
1.90208e-12,2.04222e-12,0
2.04222e-12,2.18237e-12,0
2.18237e-12,2.32251e-12,2
2.32251e-12,2.46265e-12,1
2.46265e-12,2.6028e-12,2
2.6028e-12,2.74294e-12,0
2.74294e-12,2.88308e-12,2
2.88308e-12,3.02323e-12,1
3.02323e-12,3.16337e-12,0
3.16337e-12,3.30351e-12,1
3.30351e-12,3.44366e-12,0
3.44366e-12,3.5838e-12,1
