backend,time_ms,containment_rate
scipy,0.004571083333333333,1.0
c_arb,0.11318,
jax_point,0.17640658333333334,1.0
jax_adaptive,0.24198102777777775,0.0
jax_rigorous,0.24359111111111112,0.0
jax_basic,0.3116994444444445,0.0
mpmath,0.9271024722222223,1.0
boost,5.721883888888889,1.0
