bin_left,bin_right,count
5.3707e-14,6.69331e-14,1
6.69331e-14,8.01592e-14,5
8.01592e-14,9.33853e-14,2
9.33853e-14,1.06611e-13,1
1.06611e-13,1.19837e-13,2
1.19837e-13,1.33064e-13,4
1.33064e-13,1.4629e-13,3
1.4629e-13,1.59516e-13,2
1.59516e-13,1.72742e-13,0
1.72742e-13,1.85968e-13,0
1.85968e-13,1.99194e-13,1
1.99194e-13,2.1242e-13,3
2.1242e-13,2.25646e-13,6
2.25646e-13,2.38872e-13,1
2.38872e-13,2.52098e-13,1
2.52098e-13,2.65324e-13,2
2.65324e-13,2.78551e-13,2
2.78551e-13,2.91777e-13,3
2.91777e-13,3.05003e-13,4
3.05003e-13,3.18229e-13,2
3.18229e-13,3.31455e-13,2
3.31455e-13,3.44681e-13,3
3.44681e-13,3.57907e-13,2
3.57907e-13,3.71133e-13,3
3.71133e-13,3.84359e-13,9
