function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes
sqrt,c_arb,128,,,,9.1826e-07,0.202886,
sqrt,jax_basic,128,1.92988e-17,2.22045e-16,0,9.1826e-07,2.51447,
sqrt,jax_adaptive,128,4.53382e-13,2.0626e-11,0,9.18261e-07,3.31248,
sqrt,jax_rigorous,128,4.53382e-13,2.0626e-11,0,9.18262e-07,3.6643,
sqrt,scipy,128,4.53382e-13,2.0626e-11,1,,0.002831,
sqrt,jax_point,128,4.53382e-13,2.0626e-11,1,,2.39514,
sqrt,mpmath,128,4.53382e-13,2.0626e-11,1,,2.42977,
sqrt,boost,128,4.53382e-13,2.0626e-11,1,,14.8662,
cos,c_arb,128,,,,1.33681e-06,0.160688,
cos,jax_basic,128,6.19147e-17,2.22045e-16,0,1.33681e-06,2.06672,
cos,jax_adaptive,128,3.00711e-13,5.00044e-13,0,1.33681e-06,2.06618,
cos,jax_rigorous,128,3.00711e-13,5.00044e-13,0,1.33681e-06,3.44934,
cos,scipy,128,3.00706e-13,5.00044e-13,1,,0.013247,
cos,jax_point,128,3.00711e-13,5.00044e-13,1,,3.56883,
cos,mpmath,128,3.00706e-13,5.00044e-13,1,,1.61874,
cos,boost,128,3.00706e-13,5.00044e-13,1,,15.4654,
log,c_arb,128,,,,2.70104e-06,0.18597,
log,jax_basic,128,3.51282e-17,2.22045e-16,0,2.70104e-06,3.48303,
log,jax_adaptive,128,2.03089e-12,4.28932e-11,0,2.70104e-06,2.15366,
log,jax_rigorous,128,2.03089e-12,4.28932e-11,0,2.70105e-06,6.87069,
log,scipy,128,2.03089e-12,4.28932e-11,1,,0.010914,
log,jax_point,128,2.03089e-12,4.28932e-11,1,,5.57612,
log,mpmath,128,2.03089e-12,4.28932e-11,1,,7.38069,
log,boost,128,2.03089e-12,4.28932e-11,1,,10.702,
sinh,c_arb,128,,,,3.53682e-06,0.191474,
sinh,jax_basic,128,4.03323e-17,4.44089e-16,0,3.53682e-06,3.41513,
sinh,jax_adaptive,128,6.69136e-13,1.79767e-12,0,3.53682e-06,2.51037,
sinh,jax_rigorous,128,6.69136e-13,1.79767e-12,0,3.53682e-06,2.71272,
sinh,scipy,128,6.69134e-13,1.79767e-12,1,,0.00797,
sinh,jax_point,128,6.69136e-13,1.79767e-12,1,,4.03871,
sinh,mpmath,128,6.69127e-13,1.79767e-12,1,,3.89761,
sinh,boost,128,6.69134e-13,1.79767e-12,1,,9.66024,
tan,c_arb,128,,,,3.01679e-06,0.12607,
tan,jax_basic,128,5.21298e-17,4.44089e-16,0,3.01679e-06,3.87258,
tan,jax_adaptive,128,1.10197e-12,5.12879e-12,0,3.01679e-06,2.59507,
tan,jax_rigorous,128,1.10197e-12,5.12879e-12,0,3.01679e-06,4.68742,
tan,scipy,128,1.10194e-12,5.12856e-12,1,,0.018461,
tan,jax_point,128,1.10197e-12,5.12879e-12,1,,3.47563,
tan,mpmath,128,1.10194e-12,5.12856e-12,1,,1.86886,
tan,boost,128,1.10194e-12,5.12856e-12,1,,7.96758,
cosh,c_arb,128,,,,2.88214e-06,0.134744,
cosh,jax_basic,128,2.94903e-17,4.44089e-16,0,2.88214e-06,7.80334,
cosh,jax_adaptive,128,9.19037e-13,1.8705e-12,0,2.88214e-06,2.84618,
cosh,jax_rigorous,128,9.19037e-13,1.8705e-12,0,2.88215e-06,1.90688,
cosh,scipy,128,9.19037e-13,1.8705e-12,1,,0.006979,
cosh,jax_point,128,9.19037e-13,1.8705e-12,1,,2.29709,
cosh,mpmath,128,9.1905e-13,1.8705e-12,1,,1.29794,
cosh,boost,128,9.19037e-13,1.8705e-12,1,,9.50219,
tanh,c_arb,128,,,,8.51858e-07,0.135622,
tanh,jax_basic,128,8.14236e-17,2.22045e-16,0,8.51858e-07,2.68983,
tanh,jax_adaptive,128,2.29452e-13,3.84803e-13,0,8.51858e-07,2.82975,
tanh,jax_rigorous,128,2.29452e-13,3.84803e-13,0,8.51859e-07,2.46273,
tanh,scipy,128,2.29441e-13,3.84803e-13,1,,0.006532,
tanh,jax_point,128,2.29452e-13,3.84803e-13,1,,2.17744,
tanh,mpmath,128,2.2944e-13,3.84803e-13,1,,1.00761,
tanh,boost,128,2.2944e-13,3.84803e-13,1,,12.2327,
exp,c_arb,128,,,,3.93037e-06,0.13983,
exp,jax_basic,128,1.17311e-16,1.77636e-15,0,3.93037e-06,3.73346,
exp,jax_adaptive,128,9.82601e-13,3.68594e-12,0,3.93037e-06,2.56196,
exp,jax_rigorous,128,9.82601e-13,3.68594e-12,0,3.93037e-06,3.82724,
exp,scipy,128,9.826e-13,3.68594e-12,1,,0.007065,
exp,jax_point,128,9.82601e-13,3.68594e-12,1,,3.52613,
exp,mpmath,128,9.826e-13,3.68594e-12,1,,4.20295,
exp,boost,128,9.826e-13,3.68594e-12,1,,9.1639,
sin,c_arb,128,,,,1.14987e-06,0.1394,
sin,jax_basic,128,6.80879e-17,2.22045e-16,0,1.14987e-06,3.84519,
sin,jax_adaptive,128,3.48524e-13,5.00044e-13,0,1.14987e-06,5.13567,
sin,jax_rigorous,128,3.48524e-13,5.00044e-13,0,1.14987e-06,5.53428,
sin,scipy,128,3.48524e-13,5.00044e-13,1,,0.027176,
sin,jax_point,128,3.48524e-13,5.00044e-13,1,,6.47432,
sin,mpmath,128,3.48524e-13,5.00044e-13,1,,1.87714,
sin,boost,128,3.48524e-13,5.00044e-13,1,,9.53395,
