bin_left,bin_right,count
1.10398e-14,2.59903e-14,1
2.59903e-14,4.09409e-14,0
4.09409e-14,5.58914e-14,2
5.58914e-14,7.08419e-14,1
7.08419e-14,8.57925e-14,11
8.57925e-14,1.00743e-13,10
1.00743e-13,1.15694e-13,8
1.15694e-13,1.30644e-13,3
1.30644e-13,1.45595e-13,1
1.45595e-13,1.60545e-13,8
1.60545e-13,1.75496e-13,5
1.75496e-13,1.90446e-13,6
1.90446e-13,2.05397e-13,2
2.05397e-13,2.20347e-13,3
2.20347e-13,2.35298e-13,4
2.35298e-13,2.50248e-13,5
2.50248e-13,2.65199e-13,1
2.65199e-13,2.8015e-13,7
2.8015e-13,2.951e-13,2
2.951e-13,3.10051e-13,4
3.10051e-13,3.25001e-13,5
3.25001e-13,3.39952e-13,9
3.39952e-13,3.54902e-13,3
3.54902e-13,3.69853e-13,7
3.69853e-13,3.84803e-13,20
