function,backend,samples,mean_abs_err,max_abs_err,containment_rate,mean_width,time_ms,notes,sweep_sample,sweep_seed,wall_s,peak_rss_mb,run_dir
sinh,jax_adaptive,64,7.23207e-13,1.76925e-12,0,3.76921e-06,2.93933,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sinh,jax_rigorous,64,7.23207e-13,1.76925e-12,0,3.76921e-06,2.60044,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sinh,scipy,64,7.23202e-13,1.76925e-12,1,,0.058403,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sinh,jax_point,64,7.23207e-13,1.76925e-12,1,,2.70916,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sinh,mpmath,64,7.23221e-13,1.76925e-12,1,,0.843378,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
sinh,boost,64,7.23202e-13,1.76925e-12,1,,13.2142,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tan,c_arb,64,,,,3.11465e-06,0.096514,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tan,jax_basic,64,5.7273e-17,2.22045e-16,0,3.11465e-06,3.30825,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tan,jax_adaptive,64,1.21249e-12,5.31797e-12,0,3.11465e-06,2.50675,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tan,jax_rigorous,64,1.21249e-12,5.31797e-12,0,3.11466e-06,2.71879,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tan,scipy,64,1.21247e-12,5.31797e-12,1,,0.016067,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tan,jax_point,64,1.21249e-12,5.31797e-12,1,,4.65552,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tan,mpmath,64,1.21247e-12,5.31797e-12,1,,4.55747,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tan,boost,64,1.21247e-12,5.31797e-12,1,,15.82,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
cosh,c_arb,64,,,,2.76038e-06,0.099989,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
cosh,jax_basic,64,6.93889e-18,2.22045e-16,0,2.76038e-06,2.91719,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
cosh,jax_adaptive,64,9.06508e-13,1.82432e-12,0,2.76038e-06,2.88421,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
cosh,jax_rigorous,64,9.06508e-13,1.82432e-12,0,2.76038e-06,2.59504,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
cosh,scipy,64,9.06501e-13,1.82432e-12,1,,0.008101,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
cosh,jax_point,64,9.06508e-13,1.82432e-12,1,,2.31788,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
cosh,mpmath,64,9.06497e-13,1.82432e-12,1,,0.543106,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
cosh,boost,64,9.06501e-13,1.82432e-12,1,,7.77845,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tanh,c_arb,64,,,,1.00684e-06,0.079052,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tanh,jax_basic,64,5.81132e-17,2.22045e-16,0,1.00684e-06,5.47761,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tanh,jax_adaptive,64,2.39734e-13,3.84359e-13,0,1.00684e-06,3.80339,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tanh,jax_rigorous,64,2.39734e-13,3.84359e-13,0,1.00684e-06,2.5683,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
tanh,scipy,64,2.39714e-13,3.84359e-13,1,,0.070413,,64,0,47.673947,1130.214844,/home/phili/projects/arbplusJAX/examples/outputs/example_core_scalar_surface/gpu_profile/samples_64_seed_0
